name;ra;dec;amplitude;beyond1std;fpr_mid20;fpr_mid35;fpr_mid50;fpr_mid65;fpr_mid80;linear_trend;max_slope;med_abs_dev;med_buf_range_per;pair_slope_trend;percent_amplitude;pdfp;skew;kurtosis;std;ls;rcorbor;magratio;data_num;object;dmjd
CSS111024:073832+445339;114.631585;44.894237;1.67;0.139601;0.126248;0.217497;0.32346;0.498897;0.773311;-3.8e-05;275.808937;0.09;0.997151;0.4;2.597493;0.508422;0.889901;17.909864;0.243781;0.292026;0.002849;0.481481;351;Flare;55859
CSS110929:035641+103653;59.168937;10.614802;1.67;0.173077;0.15656;0.296483;0.413077;0.542664;0.732899;-9e-06;398.422091;0.15;0.996795;0.566667;6.943282;0.656405;-1.311274;14.779209;0.278608;0.998499;0;0.49359;312;Flare;55834
CSS110921:023256+080508;38.235071;8.085587;1.865;0.218009;0.17438;0.256183;0.383993;0.549901;0.782107;-8.5e-05;366.554054;0.2;0.995261;0.5;7.317638;0.991029;-0.449849;5.608129;0.425895;0.391732;0;0.492891;211;Flare;55826
CSS110918:231833-074310;349.637464;-7.719237;1.365;0.115538;0.129302;0.235355;0.351351;0.516171;0.686648;-7.8e-05;267.857143;0.1;0.992032;0.533333;5.792036;0.501006;-4.192785;29.531221;0.254681;0.863596;0;0.494024;251;Flare;55823
CSS110703:164548+344402;251.450378;34.734086;1.395;0.306122;0.143932;0.3215;0.443172;0.596298;0.815795;1.4e-05;325.581395;0.205;1;0.533333;2.467369;0.809012;0.273461;2.177575;0.31531;1.441208;0;0.489796;294;Flare;55746
CSS110605:163952+341552;249.968373;34.264637;0.775;0.294118;0.131998;0.229063;0.401026;0.548662;0.704461;7.9e-05;188.552189;0.165;1;0.433333;1.280318;0.767862;-0.357912;0.826404;0.251269;0.605048;0;0.5;204;Flare;55718
CSS110526:130406+200348;196.025142;20.063204;1.265;0.091216;0.138399;0.232852;0.372768;0.546699;0.747561;-5.1e-05;769.230767;0.09;0.996622;0.466667;4.861382;0.399346;-4.754863;34.42983;0.216789;0.202911;0;0.47973;296;Flare;55708
CSS110404:085253+185323;133.219921;18.889604;1.79;0.18593;0.120526;0.233244;0.352378;0.501897;0.749752;-3.7e-05;1369.863014;0.105;0.997487;0.433333;12.740274;0.549741;-4.333187;49.27435;0.239931;0.539241;0;0.5;398;Flare;55656
CSS110328:044721+342833;71.835509;34.47575;3.095;0.125;0.007433;0.012846;0.022544;0.033527;0.29027;-0.000744;335.701599;0.335;0.875;0.565217;166.380683;25.999762;-2.413388;5.065828;1.448634;2.173834;0;0.5;24;Flare;55649
CSS110326:095920-081821;149.834189;-8.306;1.425;0.025532;0.128634;0.193845;0.389517;0.519407;0.690312;-3.7e-05;365.467626;0.03;0.995745;0.5;9.568175;0.143204;-10.4541;125.672457;0.194495;0.640964;0;0.425532;235;Flare;55647
CSS101207:041948+352749;64.948414;35.463498;1.93;0.077465;0.146514;0.234551;0.403851;0.570845;0.776901;-3.9e-05;317.617866;0.14;0.985915;0.466667;11.133889;0.623091;-4.271724;29.343967;0.371214;0.979978;0;0.492958;142;Flare;55538
CSS101206:040853+001814;62.222098;0.303561;1.255;0.319149;0.137683;0.181144;0.261453;0.434137;0.782133;-0.000168;230.3207;0.335;1;0.433333;3.72058;2.232822;-0.750728;0.350493;0.559465;4.182449;0;0.5;94;Flare;55537
CSS101114:012130+013420;20.377029;1.572225;0.275;0.199187;0.211206;0.282915;0.424402;0.565926;0.744697;1e-06;51.194539;0.03;1;0.466667;0.458814;0.131433;-2.134136;12.484675;0.054201;1.544269;0;0.418699;246;Flare;55515
CSS101110:093702+122124;144.259745;12.356604;1.425;0.126263;0.119097;0.238234;0.357452;0.508989;0.732699;-2.6e-05;1054.05406;0.06;0.997475;0.433333;4.64937;0.309357;-4.499642;66.122419;0.14898;0.764292;0;0.474747;396;Flare;55511
CSS101103:044904-132304;72.265268;-13.384381;0.81;0.029557;0.090037;0.27012;0.450225;0.450225;0.723785;-3.2e-05;74.534162;0.02;1;0.366667;2.732502;0.101825;-8.437518;83.933785;0.125847;0.332077;0;0.448276;203;Flare;55504
CSS101029:033458+025814;53.739915;2.970438;1.465;0.107843;0.149321;0.275101;0.375276;0.558573;0.769868;-3.2e-05;162.341983;0.07;0.996732;0.566667;10.481536;0.370136;-8.457677;112.230027;0.191884;0.169323;0;0.490196;306;Flare;55499
CSS100618:232546+091642;351.439663;9.27808;1.85;0.161184;0.128922;0.215064;0.301498;0.470566;0.676625;0;639.143731;0.14;0.993421;0.5;6.943282;0.857733;-1.807115;13.281947;0.335615;0.203198;0;0.480263;304;Flare;55366
CSS100613:210105-183650;315.272113;-18.614106;1.415;0.176744;0.127023;0.195865;0.291251;0.456691;0.674558;-3.3e-05;836.734696;0.12;0.995349;0.5;5.08135;0.732061;-1.892988;12.17216;0.276246;0.346599;0;0.483721;215;Flare;55361
CSS100522:151221-050051;228.086361;-5.014359;2.385;0.17561;0.156227;0.251991;0.380671;0.580797;0.797739;-4.6e-05;241.935484;0.23;0.990244;0.5;23.21029;1.131689;-2.037847;12.694749;0.501202;0.439438;0;0.497561;205;Flare;55339
CSS100108:051750+005415;79.459049;0.904212;1.42;0.024055;0.098038;0.246243;0.34477;0.456217;0.746093;-3.3e-05;120.488941;0.03;0.989691;0.533333;9.665961;0.187897;-7.449976;59.199576;0.261022;0.881022;0;0.429553;291;Flare;55205
CSS091016:014614+272653;26.558208;27.44803;1.34;0.392857;0.079602;0.273143;0.340841;0.588063;0.65551;0.000385;152.475248;0.65;1;0.444444;4.807398;4.0686;-0.568372;-0.844244;0.788966;2.895896;0;0.5;28;Flare;55121
CSS090928:031201+313315;48.002048;31.554223;1.445;0.035714;0.124177;0.25681;0.372625;0.549075;0.742463;-1.6e-05;286.103542;0.05;0.996753;0.433333;6.112135;0.221498;-7.604609;90.974255;0.167713;1.246467;0;0.464286;308;Flare;55103
CSS090927:233546-042520;353.941284;-4.422222;1.455;0.196787;0.106694;0.23289;0.382186;0.567995;0.732594;-1.7e-05;327.751196;0.18;1;0.533333;4.64937;0.863556;-0.934783;5.831922;0.344966;0.283213;0;0.48996;249;Flare;55102
CSS090828:022154+102940;35.47355;10.494411;2.37;0.126214;0.100793;0.200588;0.280945;0.474162;0.729612;5.7e-05;367.768595;0.17;0.980583;0.433333;33.355795;1.131372;-3.44304;19.721669;0.565571;0.566239;0;0.485437;103;Flare;55072
CSS090730:030050+163123;45.207158;16.523142;2.82;0.132159;0.104179;0.178982;0.315251;0.398556;0.571064;-3.2e-05;300.448431;0.25;0.977974;0.466667;57.613816;1.508282;-3.439122;18.587928;0.648442;0.612678;0;0.497797;227;Flare;55043
