objID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1237648674511520381,24.98203,22.54154,20.82159,19.999,19.3527
1237648674511126687,21.00533,19.11861,18.28256,17.8856,17.46399
1237648674529608020,21.19929,19.81666,19.23848,18.87913,18.44178
1237648674510733490,21.98265,20.16107,18.87795,18.4344,18.08091
1237648673997128266,20.42265,18.71139,17.82191,17.47851,17.20011
1237648673997127724,19.22984,17.8879,17.27006,16.9778,16.76082
1237648673996931887,21.95324,19.91817,18.72018,18.25596,17.89954
1237648673996931811,22.08549,20.54634,19.59245,19.15709,18.77865
1237648673996931633,21.48225,19.61543,18.59269,18.15416,17.75766
1237648673996603913,22.22392,20.47616,19.39121,18.75636,18.25129
1237648673996473880,22.85966,21.24659,20.47015,19.92934,19.43189
1237648673996472959,21.88063,20.71281,20.03227,19.80116,19.48946
1237648673995489776,21.62319,20.44907,19.51327,19.188,18.89165
1237648673995424553,22.06601,20.77932,20.03026,19.77914,19.48023
1237648673995096731,21.54784,20.52276,19.73584,19.44237,19.22486
1237648673994965864,24.64227,21.91844,19.90963,19.26832,18.84797
1237648673994834397,20.44684,18.6342,17.67776,17.25401,16.93946
1237648673994768746,20.86379,19.39837,18.44399,17.9988,17.71111
1237648673994768731,21.7993,20.8011,20.12973,19.84026,19.50505
1237648673994768421,20.86935,19.16374,18.17759,17.76551,17.43902
1237648673994637807,21.64588,21.21664,20.97459,21.1618,20.99706
1237648673994637758,21.22781,19.79455,18.87811,18.43921,18.09615
1237648673993654418,20.91411,19.76073,18.81193,18.37211,18.02456
1237648673993392350,20.16079,18.2586,17.2612,16.83106,16.61516
1237648673993195779,20.82892,20.13598,19.57489,19.21324,19.1924
1237648673993195770,20.10414,19.08372,18.58049,18.24863,18.12827
1237648673993130512,23.34439,21.44614,19.59991,18.97945,18.5663
1237648673992933836,21.8996,20.39882,19.86234,19.48937,19.30763
1237648673992933808,23.17443,21.50965,19.78246,19.09042,18.69237
1237648673992868306,21.32296,19.39082,18.41744,17.90461,17.5713
1237648673992868256,20.61015,19.03658,18.33953,17.85099,17.57096
1237648673992671645,21.03134,19.73965,19.2872,19.01838,18.61936
1237648673992671592,19.92304,17.89746,17.01047,16.61034,16.04848
1237648673992671586,20.96613,18.99351,18.05303,17.70001,17.21097
1237648673987232019,21.50378,20.35595,19.6652,19.47164,19.27272
1237648673459470810,21.22926,20.23483,19.91946,19.64658,19.42587
1237648673459470780,21.15971,19.58661,18.63997,18.09681,17.69427
1237648673459339959,21.96729,20.01884,18.9432,18.50808,18.11852
1237648673458880877,23.79486,22.08844,20.15387,19.50259,19.14596
1237648673458816306,23.86818,22.55962,20.56133,19.91398,19.44686
1237648673458816102,24.175,22.58234,20.66828,19.83206,19.35083
1237648673458684342,21.05024,20.34538,19.93611,19.79757,19.63048
1237648673458159714,22.27631,20.10624,18.81187,18.54057,17.92206
1237648673458028997,20.15497,19.07966,18.53084,18.2042,18.00364
1237648672924041938,21.16183,19.44503,18.4634,17.97456,17.57701
1237648672924041574,21.5678,20.37581,19.56633,18.99623,18.57523
1237648672923779300,22.02721,19.90127,18.77983,18.23515,17.78649
1237648672922862552,22.3851,20.43264,18.97162,18.39983,17.97946
1237648672922796213,22.42689,20.41202,18.97822,18.43481,17.96996
1237648672922272279,21.28362,19.39092,18.33863,17.93256,17.51761
1237648672922206578,22.13967,20.28047,19.26837,20.75409,18.30646
1237648672922010298,22.87458,20.74756,19.06758,18.48595,18.11307
1237648672921814438,23.99367,22.44959,20.51665,19.71736,19.16279
1237648672921813985,21.70673,20.78531,19.98463,19.58916,19.23681
1237648672921748247,21.54727,20.56625,19.76028,19.38247,18.96849
1237648672921551467,20.69437,18.91032,17.95374,17.59175,17.23287
1237648672921420193,21.62655,20.26624,19.42021,18.91907,18.53174
1237648672919519703,20.42038,18.75823,17.73772,17.28463,16.96032
1237648672919519366,22.16127,20.85685,19.98665,19.59008,19.46478
1237648672891011111,13.96079,13.84305,14.77077,13.15167,11.76634
1237648598263922754,18.61881,16.78046,15.89658,15.46221,15.10685
1237648595579634295,21.34345,19.78382,18.78753,18.27529,17.90952
1237648674529739178,21.32568,19.5307,18.73794,18.18887,17.71883
1237648673995162093,20.10483,18.35382,17.42175,17.05914,16.76988
1237648673460585255,21.23832,19.12948,18.28531,17.88277,17.48816
1237648672922207003,21.10871,19.08285,18.12625,17.67461,17.24102
1237648674530001265,22.07562,20.19304,18.70344,18.18268,17.76933
1237648674530132240,21.18224,19.29862,18.1791,17.77354,17.38963
1237648674529804864,21.98325,20.50265,19.45657,18.85514,18.24024
1237648674530394376,21.16934,20.05103,19.19853,18.86085,18.54794
1237648674530394462,21.51945,19.6495,18.55563,18.15465,17.75827
1237648674529477328,24.98626,21.74471,19.9653,19.36294,19.006
1237648674511388927,22.269,20.51151,19.19848,18.58136,18.05839
1237648674511388882,21.51732,19.74005,18.98827,18.57327,18.13183
1237648674511388867,21.06023,19.74186,19.35936,18.97776,18.61638
1237648674511192278,21.25338,19.37547,18.50938,18.00509,17.43398
1237648674529935757,21.7054,20.28995,19.14089,18.64967,18.2883
1237648674510995813,24.43935,21.96738,20.16822,19.57344,19.28578
1237648674529542635,21.28747,19.65023,18.9153,18.5361,18.07559
1237648674529739864,24.07738,22.14131,20.47805,19.7006,19.30408
1237648674529804713,21.80326,19.9201,18.93766,18.49341,18.08334
1237648674529804777,22.28816,20.32396,19.33468,18.81424,18.32825
1237648674510930215,21.41838,19.38941,18.40244,18.01405,17.61183
1237648674510930097,21.46429,19.67293,18.6158,18.18546,17.76535
1237648674510733466,21.83592,19.75933,18.54847,18.12172,17.78229
1237648674510733463,20.52053,18.98027,18.00284,17.5407,17.17663
1237648673997849499,21.66375,19.79648,18.68442,18.19967,17.7922
1237648673997652816,20.465,19.62639,19.24025,18.80376,18.59068
1237648673997652769,21.87422,19.85221,18.79216,18.3674,17.94301
1237648673997652749,21.48032,19.43551,18.3173,17.88903,17.47574
1237648673997456197,20.74273,19.81905,19.12123,18.81968,18.53021
1237648673997127886,21.88377,20.0598,18.96926,18.54736,18.19393
1237648673997062491,21.6549,20.24282,19.47833,19.123,18.8028
1237648673996669617,21.46077,19.84004,18.90412,18.43419,18.1123
1237648673996473001,21.76019,20.04342,18.98602,18.59167,18.17158
1237648673996014817,24.14453,22.02677,20.29834,19.73234,19.11119
1237648673996014748,24.1224,22.23343,20.42723,19.83271,19.28979
1237648673995948107,19.21819,17.47686,16.69369,16.40784,16.10717
1237648673995686549,21.72829,20.04166,18.98655,18.67416,18.34593
1237648673995555063,21.0904,19.04919,18.04471,17.59394,17.19036
1237648673994965776,24.18709,21.67354,19.7127,19.07947,18.72466
1237648673994965554,20.42393,20.25224,20.4971,20.79015,21.21866
1237648673994965546,20.55485,18.72764,17.68642,17.37428,17.08117
1237648673994900167,21.87014,20.60219,19.79245,19.43794,19.20459
1237648673994900138,21.41784,20.37415,19.83612,19.71085,19.62286
1237648673994900087,22.00676,20.49036,19.60418,19.24816,19.04283
1237648673994900085,22.23744,20.13412,18.78264,18.25903,17.84431
1237648673994834641,20.54468,19.92475,19.47137,19.35662,19.17492
1237648673994834580,20.93387,19.95702,19.30486,19.02461,18.92476
1237648673994834517,20.85024,19.93411,19.38401,19.22183,19.07109
1237648673994834323,20.16503,18.22775,17.1955,16.78949,16.4831
1237648673994768767,20.99103,19.5412,18.5771,18.07027,17.75817
1237648673994768659,21.72321,19.66545,18.58179,18.17869,17.82386
1237648673994703581,21.56404,20.76122,19.92323,19.48524,19.28951
1237648673994703481,21.58839,19.67957,18.55328,18.11017,17.80851
1237648673994703423,22.0666,20.36976,19.01543,18.51784,18.13773
1237648673994703068,21.53945,19.72371,18.75981,18.32297,18.04765
1237648673994638113,23.69559,21.48271,19.67875,19.12602,18.73231
1237648673994638013,21.27931,20.194,19.51774,19.22029,19.02386
1237648673994637920,21.72873,20.57604,19.88142,19.58092,19.5064
1237648673994637877,21.40602,19.46132,18.4843,18.12992,17.75761
1237648673994637874,20.57136,18.70688,17.70561,17.33767,16.93757
1237648673994637788,22.13328,20.33639,18.98453,18.51467,18.17814
1237648673994637589,21.09047,19.26246,18.30915,17.90422,17.57481
1237648673994637494,21.77363,20.29033,19.41616,18.99734,18.62185
1237648673993654701,21.17324,19.59906,18.49579,18.02657,17.66255
1237648673993589133,21.71463,19.94641,18.7124,18.25197,17.85848
1237648673993458362,23.29807,22.29793,20.59534,19.75131,19.37148
1237648673993392589,22.11092,19.98952,18.66861,18.16692,17.87164
1237648673993392521,21.92129,19.84584,18.47819,17.98719,17.73404
1237648673993392198,20.62574,19.39505,19.0012,18.64503,19.07308
1237648673993327045,21.25243,19.58584,18.58351,18.2527,17.88928
1237648673992868174,22.33861,19.99138,18.95149,18.43677,18.07765
1237648673992802783,21.10137,19.20336,18.39972,18.00101,17.6592
1237648673992802733,21.57563,19.51109,18.49209,17.98302,17.59527
1237648673992737138,21.48177,20.18257,19.24557,18.78047,18.35649
1237648673992671682,20.80021,18.89814,18.04201,17.6739,17.1715
1237648673992671660,20.58074,18.56144,17.69707,17.31571,16.86752
1237648673992671283,20.95347,19.64579,18.90185,18.5566,18.13783
1237648673992540714,23.21258,21.2088,19.6422,19.08171,18.57745
1237648673992540484,21.47248,19.38158,18.42074,18.00986,17.59819
1237648673992540472,21.50798,19.91686,19.27244,18.88247,18.59787
1237648673992540336,21.15755,19.71159,19.27063,19.01535,18.78695
1237648673992474995,21.60469,19.7883,18.8754,18.47297,18.14055
1237648673971437743,21.1583,20.10395,19.35022,19.04434,18.92533
1237648673971437704,21.58735,19.67842,18.53617,18.06269,17.81066
1237648673971437623,19.70803,18.05306,17.06375,16.6164,16.27033
1237648673459405604,21.75173,19.63892,18.56117,18.08715,17.6332
1237648673459209881,24.55999,22.04279,20.24171,19.52882,19.0168
1237648673458356984,22.17738,20.72264,19.29037,18.77879,18.33855
1237648673456652659,20.9097,19.70342,18.78581,18.30825,18.00752
1237648673456456075,22.47559,20.10898,18.82253,18.3717,17.94332
1237648673431879906,20.89126,19.3366,18.48825,18.06189,17.67582
1237648672924041950,21.18436,19.17072,18.03641,17.5223,17.01731
1237648672923845603,22.12617,20.61005,19.64581,19.07932,18.52914
1237648672923844974,24.11387,22.5355,20.4082,19.68558,19.13325
1237648672923321360,22.47128,20.46774,19.39166,18.90719,18.50213
1237648672923320865,21.61473,19.70824,18.53858,18.04277,17.63848
1237648672922468973,20.2231,19.19906,18.44605,17.94974,17.52364
1237648672922468549,19.70101,18.71577,18.3259,18.05083,17.73114
1237648672922272244,20.58141,18.60214,17.63477,17.22548,16.85273
1237648672922206835,20.72739,18.87406,18.00933,17.60512,17.24043
1237648672922206684,21.45748,20.41864,19.89843,19.64324,19.52868
1237648672921879344,23.69965,22.41156,20.35038,19.65375,19.11161
1237648672921813624,21.78066,19.7973,18.57644,18.08061,17.65088
1237648672921551336,21.19684,19.29946,18.10518,17.64865,17.1646
